ID,Toidukood,ToidunimiEST,ToidunimiENG,ToidunimiLAT,Sunonuumid,Toidugrupp,Allikas,EnergiashkiudainedkJ,Energiashkiudainedkcal,Susivesikudimenduvadg,Rasvadg,Valgudg,Alkoholg,Vesig,Tuhkg,Susivesikudkokkug,Kiudainedg,Tarklisg,Sahharoosg,Laktoosg,Maltoosg,Glukoosg,Fruktoosg,Galaktoosg,Rasvhappedkokkug,Kullastunudrasvhappedg,Monokullastumatarasvhappedg,Polukullastumatarasvhappedg,Transrasvhappedg,PalmitiinhapeC16g,SteariinhapeC18g,LinoolhapeC182g,LinoleenhapeC183g,Kolesteroolmg,Naatriummg,Kaaliummg,Kaltsiummg,Magneesiummg,Fosformg,Raudmg,Tsinkmg,Vaskmg,Mangaanmg,Joodug,Seleenug,Kroomug,Nikkelug,VitamiinARE,Retinoolug,BeetakaroteeniekvivalentBCE,VitamiinDug,VitamiinD3ug,VitamiinEaTE,VitamiinKug,VitamiinB1mg,VitamiinB2mg,NiatsiiniekvivalentkokkuNE,Niatsiinmg,Niatsiiniekvivtruptofaanistmg,Pantoteenhapemg,VitamiinB6mg,Biotiinug,Folaadidug,VitamiinB12ug,VitamiinCmg,Soolaekvivalentmg
1,1860,Aedoad,Green beans / Snap beans / Wax beans / String beans / French beans,Phaseolus vulgaris,Aeduba / Turgi oad / Turgi uba / Rohelised oad / Roheline uba,"Kaunviljad, Legume vegetables, Бобовые , ",Toidu koostise andmebaas,114.4000015,27.34160042,3.400000095,0.100000001,1.700000048,0,91,0.699999988,6.400000095,3,1,0.400000006,0,0,0.800000012,1.200000048,0,0.079999998,0,0,0.059999999,0,0,0,0,0,0,0,284,51,26,40,1.200000048,0.400000006,0.07,0.25,0.699999988,0.300000012,1.200000048,14,9,0,110,0,0,0.100000001,47,0.050000001,0.059999999,1.100000024,0.699999988,0.400000006,0.5,0.100000001,7,57,0,18,0
2,1720,"Aedoad, keedetud, soolata","Green beans / Snap beans / Wax beans / String beans / French beans, boiled, with salt",Phaseolus vulgaris,Aeduba / Turgi oad / Turgi uba / Rohelised oad / Roheline uba,"Kaunviljad, Legume vegetables, Бобовые , ",Toidu koostise andmebaas,117.8320007,28.16180038,3.502000093,0.103,1.751000047,0,90.73000336,0.721000016,6.592000008,3.089999914,1.029999971,0.412,0,0,0.824000001,1.235999942,0,0.061799999,0,0,0.061799999,0,0,0,0,0,0,0,292.519989,52.52999878,26.78000069,41.20000076,1.235999942,0.412,0.072099999,0.257499993,0.721000016,0.308999985,1.235999942,14.42000008,9.403900146,0,113.3000031,0,0,0.103,48.40999985,0.036049999,0.046349999,0.963050008,0.61285001,0.412,0.412,0.082400002,5.768000126,44.03250122,0,9.270000458,0
3,8535,Agar-agar,Agar,Gelidiella acerosa,Agar / Vetikas / Vetikad,"Kupsetus- ja tardained, tarklis, Cooking and firming agents, starch, Вещества для выпечки, загустители, крахмал , ",Toidu koostise andmebaas,1280.199951,305.9679871,70,0.300000012,2.299999952,0,19.89999962,3.200000048,75,5,67.09999847,,0,,,,,0.189999998,0.059999999,0,0.100000001,0,0.059999999,0,0,0,0,4,29,690,33,14,9,1,0.5,4.300000191,36000,0,,200,0,0,0,0,0,0,24,0,0,0.400000006,0,0.400000006,0,0,0,0,0,0,10
4,7140,"Ahven, varske ","Perch, fresh",Perca fluviatilis,Ahvenas / Vops / Kala,"Kala (varske, kulmutatud, kuumtootlemata), Fish (fresh, frozen, uncooked), Рыба (свежая, замороженная, без термической обработки) , ",Toidu koostise andmebaas,358.7999878,85.75319672,0,0.600000024,19.79999924,0,78.59999847,1,0,0,0,0,0,0,0,0,0,0.400000006,0.100000001,0.100000001,0.200000003,0,0.100000001,0,0,0,92,33,389,16,27,219,0.239999995,0.519999981,0,0.059999999,8,28,8.600000381,8,15,15,0,8,8,0.74000001,0,0.150000006,0.109999999,8.899999619,5.300000191,3.599999905,0.360000014,0.469999999,5,12,3.5,0,82.5
5,3160,Ananass ,Pineapple ,Ananas comosus,-,"Troopilised, eksootilised puuviljad - banaan, ananass, viinamarjad, granaatoun, litsi jt., Tropical, exotic fruits - banana, pineapple, grapes, pomegranate, lychee, etc., Тропические, экзотические фрукты - банан, ананас, виноград, гранат, личи и т.д., ",Toidu koostise andmebaas,195.5,46.72449875,10.10000038,0.200000003,0.400000006,0,86.5,0.400000006,11.30000019,1.200000048,0,5.5,0,0,2,2.5,0,0.100000001,0,0,0.100000001,0,0,0,0,0,0,2,160,18,16,10,0.200000003,0.100000001,0.109999999,0.5,0,0,11,16,1.493999958,0,18,0,0,0.100000001,0.209999993,0.079999998,0.029999999,0.400000006,0.300000012,0.100000001,0.159999996,0.090000004,0.300000012,5,0,12,5
6,3290,"Ananass, konserveeritud, vedelikuta","Pineapple, canned, drained",Ananas comosus,Ananassikonserv,"Puuvilja- ja marjakonservid ja -kompotid, Fruit and berry preserves and compotes, Фруктовые и ягодные консервы и компоты , ",Toidu koostise andmebaas,256.3999939,61.27959824,14.39999962,0,0.400000006,0,84.5,0.300000012,15,0.600000024,0,5,0,0,5,4.400000095,0,0,0,0,0,0,0,0,0,0,0,1.5,75,7,12,5,0.349999994,0.100000001,0,0.899999976,0,0,4,15,0.995999992,0,12,0,0,0.059999999,0.699999988,0.079999998,0.01,0.300000012,0.200000003,0.100000001,0.090000004,0.079999998,0.100000001,1,0,12,3.75
7,8658,Ananassi-laimismuuti,Pineapple-lime smoothie,-,-,"Puu- ja koogiviljamahlad (taismahlad, nektarid), Fruit and vegetable juices (pure juices, nectars) , Фруктовые и овощные соки (натуральные соки, нектары) , ",Toidu koostise andmebaas,223.8999939,53.51210022,10,0.300000012,1.200000048,0,84.5,0.430000007,12.80000019,2.799999952,1.700000048,5.800000191,0,0,2.700000048,2.5,,0.100000001,0.100000001,0,0,0,0,0,0,0,0,4,195,7.800000191,15.80000019,13.30000019,0.300000012,0.079999998,0.079999998,0.479999989,0.200000003,0.360000014,1.5,1.200000048,1.203500032,0,14.5,0,0,0.090000004,,0.039999999,0.029999999,0.430000007,0.360000014,0.07,0.180000007,0.140000001,2,14,0,14.69999981,10
8,7220,"Angerjas, varske ","Eel / Anguille , fresh",Anguilla anguilla,Kala,"Kala (varske, kulmutatud, kuumtootlemata), Fish (fresh, frozen, uncooked), Рыба (свежая, замороженная, без термической обработки) , ",Toidu koostise andmebaas,1518.5,362.9219971,0,33,17.5,0,51.5,0.899999976,0,0,0,0,0,0,0,0,0,29.70000076,7.900000095,14.39999962,7.400000095,0,5.5,1.299999952,0.699999988,0.300000012,62.90000153,84,280,43,26,390,1,2.700000048,0,0,60,57,1.200000048,0.170000002,2500,2500,0,30,30,8,0,0.059999999,0.25,5.300000191,2.599999905,2.700000048,0.140000001,0.379999995,,12,4.400000095,0,210
9,8381,Annoona,Cherimoya / Custard apple ,Annona cherimola,Kerimoia,"Troopilised, eksootilised puuviljad - banaan, ananass, viinamarjad, granaatoun, litsi jt., Tropical, exotic fruits - banana, pineapple, grapes, pomegranate, lychee, etc., Тропические, экзотические фрукты - банан, ананас, виноград, гранат, личи и т.д., ",Toidu koostise andmebaas,282.7999878,67.58920288,13.39999962,0.300000012,1.5,0,74.09999847,0.800000012,15.69999981,2.299999952,1.700000048,0.600000024,0,0,5.400000095,5.699999809,0,0.200000003,0.100000001,0,0.100000001,0,0,0,0,0.100000001,0,8,250,13,17,32,0.400000006,0.119999997,0.090000004,0.079999998,,1,,,0.207499996,0,2.5,0,0,0.270000011,,0.090000004,0.109999999,1.100000024,0.600000024,0.5,0.349999994,0.25999999,,23,0,15,20
10,3350,Apelsin,Orange,Citrus sinensis,-,"Tsitrusviljad, Citrus fruits, Цитрусовые , ",Toidu koostise andmebaas,180.5,43.13949966,8.5,0.100000001,1.100000024,0,86.09999847,0.5,10.19999981,1.700000048,0,3.900000095,0,0,2.200000048,2.400000095,0,0.059999999,0,0,0,0,0,0,0,0,0,5,150,47,10,21,0.100000001,0.100000001,0,0,2,1.200000048,1,3.599999905,3.901000023,0,47,0,0,0.239999995,0,0.109999999,0.039999999,0.5,0.400000006,0.100000001,0.370000005,0.100000001,1,31,0,54,12.5
